ID,COMPLAINDATE,COMPLETIONDATE,LASTNAME,FIRSTNAME,GENDER,BROKERFULLNAME,COMMISSIONSCHEME,DESCRIPTION_CATEGORIES,REGION,DESCRIPTION_STATUS,STATE,PRODUCT,DESCRIPTION_PRIORITIES,DESCRIPTION_SOURCE,DESCRIPTION_TYPE
65,1/16/2012,1/16/2012,Roy,Stephens,MALE,Jonathan Adams,Comm-8,DO NOT USE A REQUEST,West,CLOSED,California,CAS-077,Non Urgent,Call Center,Phone
66,1/16/2012,2/13/2012,Anne,Carr,FEMALE,Bruce Sanders,Comm-6,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-072,Urgent,Call Center,Email
67,1/16/2012,1/30/2012,Maria,Jenkins,FEMALE,Russell Green,Comm-2,POOR SERVICE,West,CLOSED,California,CAS-072,Non Urgent,Company HQ,Written
68,1/17/2012,2/1/2012,Dennis,Fuller,MALE,Kevin Gray,No Commission,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAS-020,Urgent,Company HQ,Court Order
69,1/19/2012,1/19/2012,Patricia,Walker,FEMALE,Andrew Rodriguez,Comm-2,POOR SERVICE,West,CLOSED,California,CAS-016,Non Urgent,Company HQ,Written
70,1/19/2012,1/31/2012,Amy,Dunn,FEMALE,Arthur Rogers,Comm-4,POOR SERVICE,West,CLOSED,California,LBL-045,Urgent,Bank Branch,Written
71,1/19/2012,1/25/2012,Carlos,Medina,MALE,Jeremy Wood,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-021,Non Urgent,Company HQ,Written
72,1/20/2012,2/9/2012,Nancy,Butler,FEMALE,Kevin Johnson,Comm-2,DISCLAIMER OF A SERVICE ,West,CLOSED,California,BNM-038,Urgent,Company HQ,Written
73,1/20/2012,1/31/2012,Craig,Rogers,MALE,Sean Stone,Comm-2,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAP-068,Non Urgent,Bank Branch,Written
74,1/23/2012,1/26/2012,Martha,Mcdonald,FEMALE,Walter Stewart,Comm-4,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,OOT-061,Urgent,Company HQ,Written
75,1/23/2012,1/30/2012,Kathryn,Thompson,FEMALE,Earl Stephens,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,BNM-031,Urgent,Bank Branch,In person
76,1/23/2012,1/30/2012,Mary,Ellis,FEMALE,Carlos Wagner,Comm-9,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-012,Urgent,Bank HQ,Phone
77,1/23/2012,1/23/2012,Brenda,Daniels,FEMALE,Gerald Davis,Comm-5,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-075,Urgent,Company HQ,Written
78,1/23/2012,1/25/2012,Aaron,Nelson,MALE,Michael Ferguson,No Commission,USE OF OTHER / OTHER EXPENSES,West,CLOSED,California,HOC-048,Non Urgent,Bank Branch,In person
79,1/23/2012,1/27/2012,Caldwell Group,,,Carl Hayes,Comm-2,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,HOC-064,Non Urgent,Bank Branch,Written
80,1/24/2012,2/10/2012,Maria,Murray,FEMALE,Jeffrey Morales,Comm-2,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAP-026,Urgent,Bank Branch,Written
81,1/24/2012,2/3/2012,Anne,Wells,FEMALE,Gary Ryan,Comm-8,IGNORANCE OF EXISTENCE,West,CLOSED,California,BNM-035,Urgent,Company HQ,Written
82,1/25/2012,2/14/2012,Sandra,Harvey,FEMALE,Ralph Hayes,Comm-2,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-017,Urgent,Tele,Written
83,1/25/2012,2/2/2012,Antonio,Peters,MALE,Phillip Jacobs,Comm-6,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,PNM-001,Urgent,Bank Branch,Written
84,1/25/2012,2/1/2012,Victor,Young,MALE,Samuel Clark,Bonus Based,ACCOMMODATION RECONSTRUCTION,West,CLOSED,California,PNM-002,Urgent,Bank HQ,In person
85,1/27/2012,2/1/2012,Terry,Bennett,MALE,Robert Snyder,Comm-5,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HHC-058,Urgent,Bank HQ,Phone
86,1/27/2012,2/9/2012,Juan,Duncan,MALE,Matthew Scott,No Commission,USE OF OTHER / OTHER EXPENSES,West,CLOSED,California,BNM-036,Urgent,Company HQ,Written
87,1/27/2012,2/9/2012,David,Morrison,MALE,Joseph Fox,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,MOT-008,Urgent,Company HQ,Written
88,1/27/2012,2/3/2012,Jesse,Mendoza,MALE,Frank Owens,Comm-7,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,BNM-040,Non Urgent,Company HQ,Written
89,1/27/2012,3/14/2012,Kenneth,Cruz,MALE,Gregory Reyes,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-020,Urgent,Company HQ,Court Order
97,1/27/2012,2/28/2012,Stephen,Ellis,MALE,Eugene Sullivan,Comm-5,POOR SERVICE,West,CLOSED,California,CAS-013,Urgent,Company HQ,Email
99,1/30/2012,2/14/2012,Juan,Harvey,MALE,Jeffrey Williamson,Comm-6,POOR SERVICE,West,CLOSED,California,BNM-037,Urgent,Company HQ,Written
100,1/31/2012,2/7/2012,Howard,Young,MALE,Joseph Medina,Comm-4,POOR SERVICE,West,CLOSED,California,MOT-011,Urgent,Company HQ,Written
101,1/31/2012,2/10/2012,Tina,Evans,FEMALE,Todd Dixon,Comm-5,PRODUCTION PRODUCT,West,CLOSED,California,CAP-027,Urgent,Company HQ,Email
102,1/31/2012,2/15/2012,Kathleen,Harris,FEMALE,Jose Morgan,Comm-5,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAP-027,Urgent,Company HQ,Written
103,1/31/2012,2/2/2012,Emily,Roberts,FEMALE,Joseph Weaver,Comm-2,TERMS IN PRODUCT USE,West,CLOSED,California,CAS-072,Urgent,Company HQ,Written
104,1/31/2012,2/6/2012,Harold,Sims,MALE,Steve Hudson,Comm-2,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-014,Urgent,Bank Branch,In person
105,2/1/2012,2/15/2012,Brandon,Mills,MALE,Ronald Welch,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,BNM-032,Urgent,Company HQ,Written
106,2/1/2012,2/16/2012,Janice,Wallace,FEMALE,Henry Smith,Comm-8,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HOC-064,Urgent,Company HQ,Written
107,2/1/2012,2/8/2012,Norma,Rivera,FEMALE,Sean Miller,Bonus Based,SECURITY BUILDING REQUEST_ SECURITY RETURN,West,CLOSED,California,FPT-060,Non Urgent,Bank Branch,Email
108,2/2/2012,2/28/2012,Roger,Hernandez,MALE,Joshua Cooper,Comm-4,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,MOT-010,Urgent,Company HQ,Written
109,2/2/2012,2/15/2012,Howard,Martinez,MALE,Timothy Baker,Comm-7,SECURITY CONTRACT AGENCY SAINT,West,CLOSED,California,CAP-026,Urgent,Company HQ,Written
110,2/2/2012,2/6/2012,Patrick,Bishop,MALE,Billy Brooks,No Commission,IGNORANCE OF EXISTENCE,West,CLOSED,California,PNM-001,Urgent,Company HQ,Written
111,2/3/2012,2/9/2012,Lori,Freeman,FEMALE,Philip Murray,Comm-4,POWER FOR PRESENTATION OR WRONG,West,CLOSED,California,BNM-040,Non Urgent,Company HQ,Written
112,2/3/2012,3/16/2012,Jessica,Coleman,FEMALE,Todd Lane,No Commission,MANAGEMENT-NOT DECISION OF ANOTHER COMPANY CONTRACT,West,CLOSED,California,MOT-007,Non Urgent,Bank Branch,Written
113,2/3/2012,2/10/2012,Donald,Hawkins,MALE,Clarence Scott,Comm-2,USE OF OTHER / OTHER EXPENSES,West,CLOSED,California,MOT-007,Non Urgent,Company HQ,Written
114,2/3/2012,3/19/2012,Louise,Hansen,FEMALE,Raymond Gordon,Comm-6,DO NOT USE A REQUEST,West,CLOSED,California,MOT-008,Non Urgent,Company HQ,Written
115,2/3/2012,2/17/2012,Keith,Harvey,MALE,Jesse Green,Comm-8,DO NOT USE A REQUEST,West,CLOSED,California,BNM-041,Urgent,Partner,Email
116,2/3/2012,2/29/2012,Willie,Mills,MALE,Michael Olson,No Commission,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,BNM-041,Urgent,Company HQ,Email
117,2/3/2012,2/29/2012,Emily,Watkins,FEMALE,David Fuller,Bonus Based,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,HOC-048,Urgent,Company HQ,Email
118,2/3/2012,2/15/2012,Stephanie,Medina,FEMALE,Robert Mason,Comm-8,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAS-019,Non Urgent,Bank Branch,In person
119,2/6/2012,3/13/2012,Patricia,Johnson,FEMALE,Henry Burton,Comm-2,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,MMP-006,Urgent,Bank Branch,Written
120,2/6/2012,3/22/2012,Cheryl,Diaz,FEMALE,Albert Crawford,Comm-8,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAS-013,Urgent,Partner,Written
121,2/6/2012,2/21/2012,Ronald,Knight,MALE,Philip Murray,Comm-4,POWER FOR PRESENTATION OR WRONG,West,CLOSED,California,PNM-003,Non Urgent,Bank HQ,Phone
122,2/7/2012,2/28/2012,Carol,Coleman,FEMALE,Craig Carpenter,Comm-2,DISCLAIMER OF DISMISSAL,West,CLOSED,California,CAS-018,Urgent,Company HQ,Written
123,2/7/2012,2/28/2012,Tina,Fernandez,FEMALE,Nicholas Jacobs,Comm-4,DISCLAIMER OF DISMISSAL,West,CLOSED,California,HOC-048,Urgent,Bank Branch,Written
136,2/7/2012,2/28/2012,Howard,Morris,MALE,Louis Bennett,No Commission,DISCLAIMER OF DISMISSAL,West,CLOSED,California,CAS-019,Urgent,Company HQ,Written
137,2/7/2012,2/15/2012,Margaret,Simpson,FEMALE,Howard Wright,Comm-7,DISCLAIMER OF DISMISSAL,West,CLOSED,California,LBL-074,Urgent,Company HQ,Written
138,2/7/2012,2/23/2012,Christina,Stone,FEMALE,Jack Price,Comm-6,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAP-024,Non Urgent,Bank Branch,Written
139,2/8/2012,2/13/2012,Dorothy,Fox,FEMALE,Eugene Griffin,Comm-7,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAS-021,Urgent,Company HQ,Written
140,2/8/2012,2/23/2012,Samuel,Henderson,MALE,George Olson,Comm-3,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,LBL-074,Urgent,Company HQ,Email
141,2/8/2012,2/22/2012,Joyce,Chapman,FEMALE,Sean Anderson,No Commission,POOR SERVICE,West,CLOSED,California,MOT-009,Urgent,Company HQ,Written
142,2/8/2012,2/28/2012,Sara,Moore,FEMALE,Johnny Gonzalez,Bonus Based,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-016,Urgent,Company HQ,Written
143,2/10/2012,2/28/2012,Kevin,Holmes,MALE,Justin Gardner,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HOC-047,Urgent,Company HQ,Written
144,2/10/2012,3/2/2012,Chris,Morris,MALE,Victor Myers,Comm-9,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,MOT-008,Urgent,Company HQ,Written
145,2/10/2012,3/6/2012,Louise,Young,FEMALE,Carlos Stevens,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAP-029,Urgent,Company HQ,Written
146,2/10/2012,2/16/2012,Patrick,Richards,MALE,Adam Morales,Comm-9,POOR SERVICE,West,CLOSED,California,BNM-039,Urgent,Company HQ,Phone
147,2/13/2012,2/21/2012,Jason,Parker,MALE,Bobby Lane,Comm-7,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HOC-053,Urgent,Company HQ,Written
148,2/13/2012,5/15/2012,Betty,Shaw,FEMALE,Eugene Holmes,Bonus Based,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,MOT-011,Urgent,Bank Branch,Written
149,2/13/2012,2/29/2012,Roy,Harvey,MALE,Eric Richards,Comm-8,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HHC-057,Urgent,Company HQ,Email
150,2/13/2012,3/8/2012,Roger,Mills,MALE,Ernest Turner,Comm-6,POOR SERVICE,West,CLOSED,California,CAS-019,Urgent,Company HQ,Written
151,2/13/2012,3/15/2012,Joyce,Harris,FEMALE,Raymond Kim,Comm-2,SECURITY BUILDING REQUEST_ SECURITY RETURN,West,CLOSED,California,CAS-021,Non Urgent,Bank Branch,Written
152,2/14/2012,3/1/2012,Helen,Sullivan,FEMALE,Daniel Wagner,Comm-3,INDEPENDENT DISMISSAL,West,CLOSED,California,CAP-023,Urgent,Bank Branch,In person
153,2/14/2012,3/13/2012,VOLUME Corp,,,Steven Long,Bonus Based,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HHC-063,Urgent,Company HQ,Court Order
156,2/15/2012,3/19/2012,Shirley,Dean,FEMALE,Jeremy Wood,Comm-7,IGNORANCE OF EXISTENCE,West,CLOSED,California,HOC-051,Urgent,Tele,Written
158,2/15/2012,2/15/2012,James,Day,MALE,Peter Mendoza,Comm-2,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAP-029,Non Urgent,Bank HQ,Phone
159,2/15/2012,4/19/2012,Gregory,Smith,MALE,David Hunter,Comm-2,POOR SERVICE,West,CLOSED,California,MMP-006,Non Urgent,Partner,Written
160,2/16/2012,3/16/2012,Linda,Burton,FEMALE,Albert Harvey,Comm-7,CONTRACT NOTICE (USE OR FAITH),West,CLOSED,California,BNM-031,Non Urgent,Bank Branch,In person
161,2/16/2012,3/28/2012,Evelyn,Gilbert,FEMALE,Brian Hansen,Comm-2,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAP-029,Urgent,Company HQ,Written
162,2/16/2012,3/23/2012,Tammy,Bennett,FEMALE,John Edwards,Bonus Based,DISCLAIMER OF DISMISSAL,West,CLOSED,California,MMP-004,Non Urgent,Company HQ,Written
163,2/17/2012,4/2/2012,Frank,Mason,MALE,Eugene Sullivan,Comm-5,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-072,Urgent,Bank Branch,Written
164,2/17/2012,3/21/2012,Raymond,Elliott,MALE,Ryan Dean,Comm-5,POOR SERVICE,West,CLOSED,California,BNM-036,Non Urgent,Company HQ,Written
165,2/17/2012,3/8/2012,Timothy,Harper,MALE,Frank Porter,Bonus Based,POWER FOR PRESENTATION OR WRONG,West,CLOSED,California,HOC-047,Urgent,Bank Branch,Written
166,2/17/2012,3/21/2012,Steven,Kelley,MALE,Jonathan Bradley,No Commission,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAP-028,Urgent,Bank HQ,Email
167,2/20/2012,3/19/2012,Sandra,Romero,FEMALE,Joe Sims,Comm-3,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-018,Urgent,Bank Branch,Written
168,2/20/2012,3/29/2012,Ralph,Richardson,MALE,Craig Ford,Comm-8,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,CAS-014,Urgent,Company HQ,Written
169,2/20/2012,3/7/2012,David,Campbell,MALE,George Davis,Bonus Based,DETERMINATION OF ANSWER TO BLOOD_ QUESTION_ SOLIDARITY,West,CLOSED,California,CAS-067,Non Urgent,Bank HQ,Phone
170,2/20/2012,4/2/2012,Mark,Wood,MALE,Kevin Gray,No Commission,DISCLAIMER OF DISMISSAL,West,CLOSED,California,HOC-050,Non Urgent,Bank Branch,Written
171,2/20/2012,3/2/2012,John,Ford,MALE,Phillip Stephens,Bonus Based,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,BNM-036,Urgent,Company HQ,Written
172,2/20/2012,4/3/2012,Alice,Alexander,FEMALE,Victor Cook,Bonus Based,DISCLAIMER OF DISMISSAL,West,CLOSED,California,BNM-030,Urgent,Company HQ,Court Order
173,2/21/2012,3/13/2012,Doris,Martinez,FEMALE,Wayne Mcdonald,No Commission,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,HOC-052,Urgent,Company HQ,Written
174,2/21/2012,4/20/2012,Jeremy,Nichols,MALE,Bobby Ross,Comm-2,DISCLAIMER OF DISMISSAL,West,CLOSED,California,MOT-007,Urgent,Company HQ,Written
175,2/21/2012,2/21/2012,Julie,Burton,FEMALE,Randy Howell,Comm-4,USE OF OTHER / OTHER EXPENSES,West,CLOSED,California,HOC-055,Non Urgent,Company HQ,Phone
176,2/21/2012,2/28/2012,Harry,Torres,MALE,Christopher Patterson,No Commission,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAS-017,Non Urgent,Bank Branch,Written
177,2/22/2012,3/21/2012,Tammy,Moreno,FEMALE,Ronald Stanley,Comm-3,POOR SERVICE,West,CLOSED,California,HHC-058,Urgent,Bank Branch,Phone
178,2/23/2012,3/7/2012,Sharon,Stevens,FEMALE,Jimmy Hughes,Comm-3,POOR INFORMATION (BEFORE OR WITH THE SALE),West,CLOSED,California,BNM-032,Urgent,Company HQ,Written
179,2/23/2012,3/13/2012,Jose,Gibson,MALE,Victor Mccoy,Bonus Based,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAP-023,Urgent,Company HQ,Written
180,2/23/2012,3/23/2012,Annie,Allen,FEMALE,Bruce Price,Comm-2,CONTRACT NOTICE (USE OR FAITH),West,CLOSED,California,CAS-076,Non Urgent,Company HQ,Written
181,2/24/2012,3/26/2012,Jason,Hall,MALE,Terry Perry,Comm-7,IGNORANCE OF EXISTENCE,West,CLOSED,California,CAS-019,Non Urgent,Company HQ,Written
182,2/24/2012,3/8/2012,Beverly,Johnson,FEMALE,Gary Hill,Comm-9,POWER FOR PRESENTATION OR WRONG,West,CLOSED,California,CAS-076,Urgent,Company HQ,Email
183,2/24/2012,3/14/2012,Michelle,Hall,FEMALE,Jimmy Duncan,Comm-2,POOR SERVICE,West,CLOSED,California,BNM-062,Non Urgent,Company HQ,Written
