CustomerID,LastName,FirstName,BirthDate,Gender,ParticipantType,RegionID,MaritalStatus
8405,Sara,Reyes,5/27/1959,FEMALE,INDIVIDUAL,492,Single
8406,Deborah,Gonzales,02-03-1982,FEMALE,INDIVIDUAL,704,Married
8439,Ruby,Reynolds,09-01-2009,FEMALE,INDIVIDUAL,864,Single
8471,Steven,Schmidt,10/21/1974,MALE,INDIVIDUAL,917,Married
8849,Billy,Jenkins,08-01-1980,MALE,INDIVIDUAL,414,Single
8907,Phyllis,Scott,1/19/1948,FEMALE,INDIVIDUAL,668,Married
9303,Eric,Jacobs,11-01-1974,MALE,INDIVIDUAL,588,Divorced
9407,Victor,Mason,8/30/1959,MALE,INDIVIDUAL,528,Married
10101,Chris,Cooper,04-11-1976,MALE,INDIVIDUAL,5,Divorced
10192,Billy,Roberts,11/16/1970,MALE,INDIVIDUAL,636,Single
10389,Matthew,Anderson,8/13/1967,MALE,INDIVIDUAL,751,Single
10433,Ralph,Howell,7/27/1972,MALE,INDIVIDUAL,781,Single
10528,Martha,Riley,11/23/2011,FEMALE,INDIVIDUAL,349,Married
10535,Irene,Berry,1/21/1995,FEMALE,INDIVIDUAL,234,Single
10571,Wayne,Gonzales,5/22/1967,MALE,INDIVIDUAL,247,Married
10597,Christopher,Hayes,08-04-1987,MALE,INDIVIDUAL,134,Married
10610,Jesse,Coleman,4/15/1978,MALE,INDIVIDUAL,836,Married
10799,Kenneth,Andrews,01-04-1988,MALE,INDIVIDUAL,60,Single
10832,Harry,Willis,2/22/1969,MALE,INDIVIDUAL,77,Divorced
11160,Jerry,Jackson,9/29/1970,MALE,INDIVIDUAL,934,Single
11174,Amanda,Armstrong,6/25/1968,FEMALE,INDIVIDUAL,250,Single
11412,Rose,George,01-02-1951,FEMALE,INDIVIDUAL,882,Single
11417,Rachel,Hughes,3/30/1976,FEMALE,INDIVIDUAL,860,Married
11424,Ernest,Bishop,4/18/2011,MALE,INDIVIDUAL,795,Married
11517,Jimmy,Turner,4/14/1979,MALE,INDIVIDUAL,312,Married
11606,Ronald,Butler,09-04-1975,MALE,INDIVIDUAL,175,Married
11748,Annie,Bowman,10/13/1985,FEMALE,INDIVIDUAL,464,Married
11817,Lisa,Black,6/25/1968,FEMALE,INDIVIDUAL,488,Single
12201,Donald,Mason,11-12-1970,MALE,INDIVIDUAL,313,Single
12341,Angela,Chapman,10-02-1987,FEMALE,INDIVIDUAL,610,Married
12349,Elizabeth,Foster,12/16/1969,FEMALE,INDIVIDUAL,595,Married
12593,Anne,Garza,9/25/1972,FEMALE,INDIVIDUAL,771,Single
12602,Nicole,Carter,09-06-1984,FEMALE,INDIVIDUAL,283,Single
12656,Marilyn,Gutierrez,11/22/1979,FEMALE,INDIVIDUAL,321,Married
12964,Todd,Fisher,03-07-1975,MALE,INDIVIDUAL,906,Married
13029,Jerry,Kennedy,07-03-1970,MALE,INDIVIDUAL,516,Single
13365,Nicole,Armstrong,5/26/1970,FEMALE,INDIVIDUAL,446,Single
13644,Alan,Young,02-09-1968,MALE,INDIVIDUAL,189,Single
13649,Ashley,Lawrence,4/17/1965,FEMALE,INDIVIDUAL,531,Married
13825,Linda,Ruiz,10/16/1968,FEMALE,INDIVIDUAL,324,Married
13947,Jennifer,Williamson,9/22/1980,FEMALE,INDIVIDUAL,494,Single
14002,Mark,Foster,5/13/1959,MALE,INDIVIDUAL,631,Single
14004,Adam,Riley,11/30/1990,MALE,INDIVIDUAL,113,Married
14021,Bruce,Richardson,7/14/1958,MALE,INDIVIDUAL,672,Divorced
14433,Russell,Brooks,02-09-1971,MALE,INDIVIDUAL,677,Single
14448,Barbara,Fuller,10/27/2007,FEMALE,INDIVIDUAL,285,Single
14734,Gloria,Cooper,12/30/1997,FEMALE,INDIVIDUAL,194,Single
15067,Pamela,Anderson,10/14/1971,FEMALE,INDIVIDUAL,71,Single
15646,Lillian,Hill,09-12-1972,FEMALE,INDIVIDUAL,325,Married
16163,Helen,Mills,11/17/2009,FEMALE,INDIVIDUAL,841,Single
16225,Jack,Hill,4/21/1972,MALE,INDIVIDUAL,527,Single
16259,Tammy,Crawford,10/23/1978,FEMALE,INDIVIDUAL,614,Divorced
16534,Annie,Lane,10-09-1968,FEMALE,INDIVIDUAL,751,Divorced
16820,Todd,Woods,9/30/1978,MALE,INDIVIDUAL,575,Married
16930,Christine,Little,6/25/1960,FEMALE,INDIVIDUAL,668,Single
16976,Joseph,Pierce,8/15/1971,MALE,INDIVIDUAL,79,Single
17084,Melissa,Cole,5/25/1959,FEMALE,INDIVIDUAL,861,Married
17480,Jimmy,Stephens,7/28/1984,MALE,INDIVIDUAL,325,Married
17910,Maria,Hansen,2/14/1980,FEMALE,INDIVIDUAL,641,Single
18187,Mark,Hart,09-04-1956,MALE,INDIVIDUAL,274,Divorced
18240,Albert,Torres,7/21/1987,MALE,INDIVIDUAL,540,Single
18283,Mark,Sullivan,11-05-1975,MALE,INDIVIDUAL,828,Married
18761,George,Mason,06-05-2007,MALE,INDIVIDUAL,375,Married
18786,Steve,Simpson,09-08-1972,MALE,INDIVIDUAL,432,Married
18929,Edward,Peterson,7/18/1963,MALE,INDIVIDUAL,381,Married
19089,Louise,Reyes,9/24/1959,FEMALE,INDIVIDUAL,655,Married
19127,Amanda,Frazier,3/25/1989,FEMALE,INDIVIDUAL,255,Single
19191,Larry,Howard,3/14/1953,MALE,INDIVIDUAL,613,Married
19289,Theresa,Tucker,9/15/1952,FEMALE,INDIVIDUAL,479,Married
19631,Andrea,Ramos,9/16/1982,FEMALE,INDIVIDUAL,931,Married
19645,Wanda,Tucker,01-10-1983,FEMALE,INDIVIDUAL,614,Married
19664,Jeremy,Hart,8/31/2012,MALE,INDIVIDUAL,357,Married
19691,Louis,Gomez,8/16/1971,MALE,INDIVIDUAL,738,Single
19752,Mark,Nguyen,01-04-1975,MALE,INDIVIDUAL,943,Married
19783,Antonio,Chavez,09-05-2006,MALE,INDIVIDUAL,696,Married
19868,Melissa,Morgan,6/22/2010,FEMALE,INDIVIDUAL,128,Married
19934,Anna,Martinez,5/16/1986,FEMALE,INDIVIDUAL,860,Married
19960,Gregory,Hansen,8/31/1952,MALE,INDIVIDUAL,23,Single
19987,Larry,Graham,11/24/1978,MALE,INDIVIDUAL,256,Married
20077,Deborah,Pierce,4/23/1969,FEMALE,INDIVIDUAL,41,Married
20123,Linda,Ortiz,4/25/1976,FEMALE,INDIVIDUAL,793,Single
20146,Steve,Collins,07-02-1971,MALE,INDIVIDUAL,133,Single
20154,Margaret,Evans,04-12-1960,FEMALE,INDIVIDUAL,358,Married
20175,Virginia,Morgan,1/18/1971,FEMALE,INDIVIDUAL,111,Married
20309,Frank,Mendoza,2/20/1978,MALE,INDIVIDUAL,209,Married
20467,Gadal ,,,,COMPANY,850,
20651,Charles,Rogers,1/28/2009,MALE,INDIVIDUAL,550,Married
20746,Raymond,Cook,9/16/1959,MALE,INDIVIDUAL,738,Married
20924,Robert,Ellis,1/29/1974,MALE,INDIVIDUAL,705,Married
21047,Dennis,Matthews,8/15/1968,MALE,INDIVIDUAL,641,Single
21087,Larry,Wallace,8/20/1983,MALE,INDIVIDUAL,15,Married
21404,Nancy,Allen,12/18/1980,FEMALE,INDIVIDUAL,724,Single
21604,Albert,Watson,5/22/1963,MALE,INDIVIDUAL,307,Married
21713,Todd,Murphy,10-04-1966,MALE,INDIVIDUAL,398,Single
22791,Earl,Larson,2/19/1973,MALE,INDIVIDUAL,637,Married
22793,Bruce,Mitchell,8/23/1973,MALE,INDIVIDUAL,62,Married
22958,Pamela,Clark,3/25/1981,FEMALE,INDIVIDUAL,698,Single
23061,Brenda,Gomez,6/15/1974,FEMALE,INDIVIDUAL,993,Single
23618,Kathy,Gardner,01-06-1953,FEMALE,INDIVIDUAL,386,Married
23702,Stephanie,Green,5/16/1979,FEMALE,INDIVIDUAL,562,Married
23762,Stephanie,Howell,02-01-1972,FEMALE,INDIVIDUAL,439,Married
23801,Roy,Phillips,1/16/1961,MALE,INDIVIDUAL,308,Married
23821,Mary,Kennedy,4/25/1984,FEMALE,INDIVIDUAL,275,Single
24051,Joyce,Young,11/22/1982,FEMALE,INDIVIDUAL,315,Single
24127,Joan,Thomas,8/30/1980,FEMALE,INDIVIDUAL,741,Married
24156,Philip,Payne,09-02-1977,MALE,INDIVIDUAL,215,Married
24161,Mark,Bennett,5/25/2010,MALE,INDIVIDUAL,981,Single
24168,Frank,Powell,2/27/1959,MALE,INDIVIDUAL,884,Married
24436,Angela,Wells,8/20/1974,FEMALE,INDIVIDUAL,248,Single
24475,Robin,Ruiz,01-12-1977,FEMALE,INDIVIDUAL,55,Married
24600,Jane,Lee,8/18/1967,FEMALE,INDIVIDUAL,617,Single
24642,Janice,Wallace,4/20/1992,FEMALE,INDIVIDUAL,165,Married
25169,Douglas,Rice,4/18/1965,MALE,INDIVIDUAL,473,Married
25484,Johnny,Webb,3/21/1976,MALE,INDIVIDUAL,24,Married
25505,Jonathan,Romero,9/29/1971,MALE,INDIVIDUAL,888,Married
25795,Pamela,Dean,5/26/1997,FEMALE,INDIVIDUAL,245,Married
25862,Joan,Fox,10/16/1980,FEMALE,INDIVIDUAL,533,Married
25863,Katherine,Rose,5/14/1984,FEMALE,INDIVIDUAL,9,Single
25910,Arthur,Thompson,07-05-1980,MALE,INDIVIDUAL,430,Married
25928,Sean,Stone,8/20/1971,MALE,INDIVIDUAL,308,Married
26083,Stratus Corp,,,,COMPANY,597,
26337,Lawrence,Morales,12-06-1975,MALE,INDIVIDUAL,378,Married
26825,William,Payne,10-02-1966,MALE,INDIVIDUAL,499,Married
27036,Richard,Lawson,7/20/1971,MALE,INDIVIDUAL,821,Married
27500,Ashley,Hunt,2/20/1978,FEMALE,INDIVIDUAL,752,Married
27790,Joyce,Morrison,12/16/1986,FEMALE,INDIVIDUAL,455,Married
28066,Randy,Clark,10-11-1973,MALE,INDIVIDUAL,720,Married
28138,Kathleen,Chapman,2/18/1975,FEMALE,INDIVIDUAL,209,Married
28167,Robin,Austin,8/24/1973,FEMALE,INDIVIDUAL,322,Married
28209,Randy,Romero,08-10-1982,MALE,INDIVIDUAL,604,Married
28520,Matthew,Brooks,11-08-1966,MALE,INDIVIDUAL,653,Married
28590,Andrew,Armstrong,05-02-1983,MALE,INDIVIDUAL,100,Married
28658,Ryan,Little,8/29/1969,MALE,INDIVIDUAL,929,Married
28846,Gerald,Perry,4/15/1970,MALE,INDIVIDUAL,124,Married
29442,Betty,Ford,12/13/1974,FEMALE,INDIVIDUAL,56,Married
29453,Charles,Kennedy,8/14/1966,MALE,INDIVIDUAL,911,Married
29455,Jack,Thompson,5/22/2003,MALE,INDIVIDUAL,142,Married
29815,Steve,James,07-09-1974,MALE,INDIVIDUAL,594,Single
29964,Julia,Ramos,11/19/1956,FEMALE,INDIVIDUAL,74,Single
30379,Gregory,Hunter,11/18/1951,MALE,INDIVIDUAL,21,Married
30477,Paul,Simmons,05-06-1945,MALE,INDIVIDUAL,817,Married
30523,Chris,Palmer,06-02-2005,MALE,INDIVIDUAL,887,Single
30627,Wayne,Kim,6/14/1965,MALE,INDIVIDUAL,202,Single
30636,Adam,James,8/26/1996,MALE,INDIVIDUAL,884,Married
30764,Amanda,Barnes,07-12-1977,FEMALE,INDIVIDUAL,59,Single
30843,Christopher,Burns,11-10-2000,MALE,INDIVIDUAL,408,Married
31228,Andrea,Woods,11/22/1962,FEMALE,INDIVIDUAL,920,Single
31490,Shirley,Andrews,5/24/1972,FEMALE,INDIVIDUAL,44,Divorced
31691,Judith,Alexander,6/30/1966,FEMALE,INDIVIDUAL,968,Divorced
32032,Joan,Mitchell,6/15/1959,FEMALE,INDIVIDUAL,16,Single
32059,Barbara,Cruz,12-09-2011,FEMALE,INDIVIDUAL,336,Married
32064,Catherine,Duncan,12-11-1977,FEMALE,INDIVIDUAL,214,Single
32191,Douglas,Richards,8/21/1972,MALE,INDIVIDUAL,794,Single
32307,Kelly,Anderson,10/15/2010,FEMALE,INDIVIDUAL,483,Single
32466,Howard,Washington,08-10-1970,MALE,INDIVIDUAL,712,Married
32644,Benjamin,Ortiz,12-09-1982,MALE,INDIVIDUAL,894,Divorced
32921,Craig,Mccoy,1/14/1969,MALE,INDIVIDUAL,976,Married
33087,Judy,Burns,5/19/1977,FEMALE,INDIVIDUAL,654,Married
33101,Robin,Castillo,12/31/1974,FEMALE,INDIVIDUAL,134,Single
33963,Virginia,Wheeler,10-08-1965,FEMALE,INDIVIDUAL,904,Married
34025,Bonnie,Sims,12/23/1975,FEMALE,INDIVIDUAL,399,Married
34031,Tina,Foster,10/22/1974,FEMALE,INDIVIDUAL,166,Married
34389,Amy,Mitchell,5/26/1976,FEMALE,INDIVIDUAL,83,Married
34635,Eric,Ryan,01-05-1958,MALE,INDIVIDUAL,521,Married
34648,Brandon,Garcia,04-03-1995,MALE,INDIVIDUAL,462,Married
34685,Benjamin,Alexander,12-02-1992,MALE,INDIVIDUAL,129,Married
34688,Thomas,Fowler,1/21/1959,MALE,INDIVIDUAL,116,Single
35018,Ralph,Washington,11/17/1978,MALE,INDIVIDUAL,890,Divorced
35330,Brenda,Rivera,06-07-1984,FEMALE,INDIVIDUAL,883,Single
35626,Gloria,Jones,9/27/1969,FEMALE,INDIVIDUAL,246,Married
35693,Edward,Ross,4/26/1966,MALE,INDIVIDUAL,279,Divorced
35955,Jeffrey,Wilson,07-01-2009,MALE,INDIVIDUAL,143,Married
35957,Fred,Franklin,4/14/1977,MALE,INDIVIDUAL,930,Married
36070,Katherine,Smith,10/25/1977,FEMALE,INDIVIDUAL,528,Single
36411,Christopher,Dean,10-09-1975,MALE,INDIVIDUAL,106,Married
36463,Philip,Miller,11-02-1972,MALE,INDIVIDUAL,889,Single
36531,Jeffrey,Gomez,09-01-1966,MALE,INDIVIDUAL,813,Single
36541,Victor,Little,03-01-1976,MALE,INDIVIDUAL,618,Married
36555,Nicholas,Medina,7/20/1988,MALE,INDIVIDUAL,172,Single
36713,Pamela,Bell,5/17/1976,FEMALE,INDIVIDUAL,529,Married
36807,Peter,Boyd,12-07-1970,MALE,INDIVIDUAL,566,Single
37482,Judy,West,7/25/2008,FEMALE,INDIVIDUAL,165,Married
37494,Cynthia,Cruz,10-10-1973,FEMALE,INDIVIDUAL,791,Married
37515,Helen,Romero,5/23/2009,FEMALE,INDIVIDUAL,992,Married
37860,Juan,Long,5/21/1975,MALE,INDIVIDUAL,418,Single
38203,George,Gonzalez,04-03-1978,MALE,INDIVIDUAL,181,Single
38209,Gregory,Mills,11-06-1951,MALE,INDIVIDUAL,631,Married
38345,Lillian,Harris,08-03-1975,FEMALE,INDIVIDUAL,54,Married
38574,Lillian,Sanders,07-04-1988,FEMALE,INDIVIDUAL,84,Married
39131,Norma,Hall,06-07-1983,FEMALE,INDIVIDUAL,825,Married
39141,Patricia,Stewart,08-11-1964,FEMALE,INDIVIDUAL,769,Single
39142,Brenda,Fox,02-12-1986,FEMALE,INDIVIDUAL,337,Married
39185,Ralph,Gordon,5/25/1954,MALE,INDIVIDUAL,991,Single
39819,Carol,Arnold,6/24/1973,FEMALE,INDIVIDUAL,640,Single
40219,Katherine,Rice,9/21/1982,FEMALE,INDIVIDUAL,163,Single
40249,Earl,Moreno,03-12-1972,MALE,INDIVIDUAL,934,Single
40251,Paula,Warren,06-09-2007,FEMALE,INDIVIDUAL,977,Married
40253,Donna,Murray,9/16/1977,FEMALE,INDIVIDUAL,325,Married
40359,Wayne,Willis,03-05-1958,MALE,INDIVIDUAL,463,Married
40368,Mary,Butler,12-11-1991,FEMALE,INDIVIDUAL,79,Single
40547,Elizabeth,Turner,11-07-1983,FEMALE,INDIVIDUAL,899,Single
40591,Kathryn,Patterson,07-01-1984,FEMALE,INDIVIDUAL,862,Divorced
40720,Natures ,,,,COMPANY,961,
40809,Laura,Stewart,11/18/2000,FEMALE,INDIVIDUAL,603,Married
40953,Anthony,Willis,10/19/1972,MALE,INDIVIDUAL,509,Married
41250,Jeremy,Williamson,5/22/2010,MALE,INDIVIDUAL,434,Married
41252,Timothy,Butler,12-02-1975,MALE,INDIVIDUAL,657,Married
41286,Teresa,Parker,8/21/1992,FEMALE,INDIVIDUAL,686,Married
41704,Lois,Rivera,2/16/1975,FEMALE,INDIVIDUAL,962,Married
41834,Susan,Spencer,10/13/1967,FEMALE,INDIVIDUAL,238,Single
41937,Ernest,White,03-01-1973,MALE,INDIVIDUAL,424,Married
41981,Laura,Hansen,6/21/1966,FEMALE,INDIVIDUAL,53,Single
42003,Susan,Reyes,1/21/1964,FEMALE,INDIVIDUAL,911,Married
42374,Timothy,Mills,09-11-1953,MALE,INDIVIDUAL,498,Married
42428,Amanda,Fernandez,10/30/1975,FEMALE,INDIVIDUAL,842,Married
42469,Edward,White,07-05-2001,MALE,INDIVIDUAL,105,Married
42474,Donald,Rogers,12-05-1962,MALE,INDIVIDUAL,992,Single
42744,Kathy,Stephens,1/22/1980,FEMALE,INDIVIDUAL,185,Married
42884,Julie,Little,9/23/1980,FEMALE,INDIVIDUAL,712,Married
43139,Paul,Sullivan,1/29/1976,MALE,INDIVIDUAL,638,Single
43341,Wayne,Rodriguez,6/29/1960,MALE,INDIVIDUAL,432,Single
43666,Michael,Chapman,11-05-1959,MALE,INDIVIDUAL,813,Divorced
44030,Deseret ,,,,COMPANY,989,
44152,Nicole,Nichols,12/20/2011,FEMALE,INDIVIDUAL,663,Single
44497,Janice,Anderson,11-12-1980,FEMALE,INDIVIDUAL,619,Married
44499,Mark,Hicks,06-08-1948,MALE,INDIVIDUAL,561,Married
44786,Joe,Gray,7/19/1953,MALE,INDIVIDUAL,74,Married
45010,Ernest,Moore,03-04-1965,MALE,INDIVIDUAL,977,Married
45340,Brian,Oliver,3/29/1976,MALE,INDIVIDUAL,875,Married
45609,Sean,Sanders,6/23/1970,MALE,INDIVIDUAL,507,Married
45757,Jane,Frazier,12/28/1963,FEMALE,INDIVIDUAL,22,Single
46094,Phillip,Scott,12/27/1981,MALE,INDIVIDUAL,94,Married
46457,Benjamin,Butler,5/14/2009,MALE,INDIVIDUAL,601,Single
46513,Christina,Nguyen,08-01-1968,FEMALE,INDIVIDUAL,959,Married
46527,Carolyn,Diaz,4/24/1972,FEMALE,INDIVIDUAL,896,Single
46769,Terry,Fuller,07-10-1956,MALE,INDIVIDUAL,224,Single
46815,Nicole,Price,03-02-1984,FEMALE,INDIVIDUAL,234,Divorced
46899,Marilyn,Castillo,6/26/1988,FEMALE,INDIVIDUAL,490,Single
47164,Denise,Washington,6/25/1968,FEMALE,INDIVIDUAL,869,Divorced
47369,Jerry,West,8/28/2009,MALE,INDIVIDUAL,93,Single
47620,Dolgencorp_ Group,,,,COMPANY,711,
48286,Raymond,Evans,9/22/1963,MALE,INDIVIDUAL,732,Married
48548,Christine,Kennedy,2/19/1987,FEMALE,INDIVIDUAL,449,Married
48694,Richard,Gonzalez,1/16/1988,MALE,INDIVIDUAL,748,Married
48742,Evelyn,Sims,8/26/1980,FEMALE,INDIVIDUAL,989,Married
48967,Robin,Mcdonald,11-04-1971,FEMALE,INDIVIDUAL,227,Single
49887,Martin,Alvarez,6/14/1978,MALE,INDIVIDUAL,805,Single
49996,Teresa,Ferguson,5/14/1984,FEMALE,INDIVIDUAL,865,Divorced
50018,Roger,Sanchez,2/25/1980,MALE,INDIVIDUAL,508,Single
50213,Joshua,Williamson,1/31/2012,MALE,INDIVIDUAL,222,Married
50216,Shawn,Green,8/18/1976,MALE,INDIVIDUAL,322,Single
50218,Carol,Evans,11/13/2007,FEMALE,INDIVIDUAL,106,Single
50595,Bobby,Cunningham,05-12-2008,MALE,INDIVIDUAL,247,Single
50603,Brian,Jacobs,9/22/1961,MALE,INDIVIDUAL,971,Single
50981,Kevin,Wilson,6/21/1973,MALE,INDIVIDUAL,721,Married
51511,Richard,Smith,07-01-1994,MALE,INDIVIDUAL,367,Single
51568,Harold,Carpenter,3/20/1970,MALE,INDIVIDUAL,707,Single
51745,Lori,Walker,3/22/1986,FEMALE,INDIVIDUAL,350,Married
52087,Carolyn,Murray,12/28/1982,FEMALE,INDIVIDUAL,442,Married
52362,Raymond,Rivera,9/17/2002,MALE,INDIVIDUAL,49,Single
52375,Donald,Ward,9/24/1967,MALE,INDIVIDUAL,378,Single
52497,Judith,Howell,6/22/1968,FEMALE,INDIVIDUAL,613,Married
52498,Karen,Chavez,12-10-1969,FEMALE,INDIVIDUAL,930,Married
52702,CSL Group,,,,COMPANY,571,
53931,Marie,Adams,4/20/1986,FEMALE,INDIVIDUAL,901,Married
54126,Judith,Fisher,09-11-1971,FEMALE,INDIVIDUAL,891,Single
54236,Sarah,Hall,3/16/1975,FEMALE,INDIVIDUAL,157,Single
54341,Albert,Long,4/18/2002,MALE,INDIVIDUAL,37,Single
54352,Ernest,Burton,10-09-1968,MALE,INDIVIDUAL,56,Single
54728,Harold,Greene,2/28/1972,MALE,INDIVIDUAL,209,Divorced
54790,Irene,Stanley,1/15/1982,FEMALE,INDIVIDUAL,866,Divorced
55194,Judith,Reynolds,08-07-1961,FEMALE,INDIVIDUAL,677,Married
55199,Angela,Tucker,07-02-1998,FEMALE,INDIVIDUAL,85,Divorced
55452,Lillian,Burns,11/20/1971,FEMALE,INDIVIDUAL,305,Single
55617,Angela,Harrison,2/26/1973,FEMALE,INDIVIDUAL,527,Single
56048,Janice,Nelson,1/24/1953,FEMALE,INDIVIDUAL,627,Married
56305,Joyce,Carr,9/19/1967,FEMALE,INDIVIDUAL,700,Single
56515,Barbara,Stewart,11/16/1977,FEMALE,INDIVIDUAL,289,Single
56524,Marilyn,Kim,6/21/1962,FEMALE,INDIVIDUAL,297,Married
56907,Brenda,Palmer,2/15/1980,FEMALE,INDIVIDUAL,410,Married
57085,Diana,Garrett,3/28/1987,FEMALE,INDIVIDUAL,349,Single
57190,Anthony,Carroll,11/13/1963,MALE,INDIVIDUAL,553,Married
57417,Diana,Castillo,10-12-1983,FEMALE,INDIVIDUAL,633,Single
57568,Craig,Taylor,8/23/1981,MALE,INDIVIDUAL,781,Married
57860,Willie,Richards,1/17/1955,MALE,INDIVIDUAL,228,Married
57862,Catherine,Ramos,2/22/2002,FEMALE,INDIVIDUAL,654,Divorced
57866,Joyce,Sims,2/22/2002,FEMALE,INDIVIDUAL,393,Single
58265,Frank,Mason,11-04-2010,MALE,INDIVIDUAL,686,Married
58683,Kathy,Fowler,9/27/1983,FEMALE,INDIVIDUAL,468,Single
58705,Stephanie,Matthews,07-09-1954,FEMALE,INDIVIDUAL,313,Single
58942,Annie,Banks,9/20/1975,FEMALE,INDIVIDUAL,755,Married
58952,Kathleen,Fields,01-04-2007,FEMALE,INDIVIDUAL,929,Married
58953,Brandon,Mason,4/15/1959,MALE,INDIVIDUAL,368,Married
59122,Michael,Howard,5/18/1978,MALE,INDIVIDUAL,824,Single
59363,Anthony,Hanson,7/15/1966,MALE,INDIVIDUAL,890,Divorced
59426,Eugene,Reid,12/19/1981,MALE,INDIVIDUAL,549,Married
59697,Andrea,Matthews,10/15/1984,FEMALE,INDIVIDUAL,565,Single
59907,Bruce,Oliver,1/27/1966,MALE,INDIVIDUAL,447,Married
60124,Roy,Ross,08-05-1976,MALE,INDIVIDUAL,839,Married
60557,Cheryl,Ward,6/28/1980,FEMALE,INDIVIDUAL,126,Married
60579,Theresa,Stephens,9/17/1996,FEMALE,INDIVIDUAL,257,Married
60637,Wanda,Welch,02-06-1983,FEMALE,INDIVIDUAL,874,Single
60657,Ronald,Willis,2/14/1962,MALE,INDIVIDUAL,336,Married
60737,Craig,Ford,5/27/1964,MALE,INDIVIDUAL,14,Married
60774,Kevin,Morales,5/19/1958,MALE,INDIVIDUAL,946,Single
60835,Antonio,Wheeler,4/19/1982,MALE,INDIVIDUAL,918,Single
61273,Matthew,Snyder,2/24/1981,MALE,INDIVIDUAL,587,Married
